"","Date","AQI"
"932",2017-07-20,116
"933",2017-07-21,53
"934",2017-07-22,30
"935",2017-07-23,37
"936",2017-07-24,35
"937",2017-07-25,37
"938",2017-07-26,32
"939",2017-07-27,41
"940",2017-07-28,42
"941",2017-07-29,47
"942",2017-07-30,30
"943",2017-07-31,29
"944",2017-08-01,44
"945",2017-08-02,40
"946",2017-08-03,49
"947",2017-08-04,50
"948",2017-08-05,88
"949",2017-08-06,99
"950",2017-08-07,110
"951",2017-08-08,68
"952",2017-08-09,73
"953",2017-08-10,95
"954",2017-08-11,58
"955",2017-08-12,45
"956",2017-08-13,259.487743871936
"957",2017-08-14,159.243871935968
"958",2017-08-15,59
"959",2017-08-16,53
"960",2017-08-17,66
"961",2017-08-18,70
"962",2017-08-19,70
"963",2017-08-20,63
"964",2017-08-21,42
"965",2017-08-22,259.487743871936
"966",2017-08-23,158.743871935968
"967",2017-08-24,58
"968",2017-08-25,104
"969",2017-08-26,259.487743871936
"970",2017-08-27,259.487743871936
"971",2017-08-28,259.487743871936
"972",2017-08-29,166.243871935968
"973",2017-08-30,73
"974",2017-08-31,94
"975",2017-09-01,91
"976",2017-09-02,88
"977",2017-09-03,88
"978",2017-09-04,89
"979",2017-09-05,88
"980",2017-09-06,88
"981",2017-09-07,88
"982",2017-09-08,106
"983",2017-09-09,96
"984",2017-09-10,118
"985",2017-09-11,119
"986",2017-09-12,106
"987",2017-09-13,115
"988",2017-09-14,142
"989",2017-09-15,169
"990",2017-09-16,110
"991",2017-09-17,106
"992",2017-09-18,99
"993",2017-09-19,109
"994",2017-09-20,137
"995",2017-09-21,144
"996",2017-09-22,92
"997",2017-09-23,83
"998",2017-09-24,84
"999",2017-09-25,104
"1000",2017-09-26,131
"1001",2017-09-27,165
"1002",2017-09-28,176
"1003",2017-09-29,172
"1004",2017-09-30,137
"1005",2017-10-01,131
"1006",2017-10-02,132
"1007",2017-10-03,115
"1008",2017-10-04,151
"1009",2017-10-05,180
"1010",2017-10-06,183
"1011",2017-10-07,193
"1012",2017-10-08,224
"1013",2017-10-09,268
"1014",2017-10-10,253
"1015",2017-10-11,208
"1016",2017-10-12,211
"1017",2017-10-13,246
"1018",2017-10-14,319
"1019",2017-10-15,317
"1020",2017-10-16,310
"1021",2017-10-17,313
"1022",2017-10-18,310
"1023",2017-10-19,336
"1024",2017-10-20,497
"1025",2017-10-21,404
"1026",2017-10-22,338
"1027",2017-10-23,327
"1028",2017-10-24,366
"1029",2017-10-25,357
"1030",2017-10-26,328
"1031",2017-10-27,345
"1032",2017-10-28,379
"1033",2017-10-29,362
"1034",2017-10-30,340
"1035",2017-10-31,366
"1036",2017-11-01,344
"1037",2017-11-02,305
"1038",2017-11-03,310
"1039",2017-11-04,345
"1040",2017-11-05,370
"1041",2017-11-06,377
"1042",2017-11-07,532
"1043",2017-11-08,675
"1044",2017-11-09,677
"1045",2017-11-10,597
"1046",2017-11-11,471
"1047",2017-11-12,613
"1048",2017-11-13,561
